"dataset_id","year","site","block","plot","grain_m2","grain_comment","treatment","treatment_type","design","timepoints","time_since_disturbance","realm","taxon","N","S","minN","Sn","ENSPIE","coverage","comment","effort"
"bateman_2018",2013,"Ave35","Ave35_dwn_B1_CORE",,2827.43338823081,"listening point of 30m radius - estimated","urban_notRestored","riverbank vegetation restoration","AC","T1",,"terrestrial","birds",82.125786163522,14.1761006289308,7,5.9987564569374,14.8665553613548,0.743241406698253,"Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events. One listening point per site per survey.",
"bateman_2018",2013,"BM","BM_mid_B2_CORE",,2827.43338823081,"listening point of 30m radius - estimated","urban_restored","riverbank vegetation restoration","AI","T1",1,"terrestrial","birds",102.100558659218,16.3072625698324,19,11.0426962584345,9.19367482260467,0.78490984670566,"Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events. One listening point per site per survey.",
"bateman_2018",2013,"Price","Price_up_B1_CORE",,2827.43338823081,"listening point of 30m radius - estimated","urban_notRestored","riverbank vegetation restoration","AC","T1",,"terrestrial","birds",62.421052631579,15.0986842105263,10,8.51071424458482,18.0993679525396,0.526083099329656,"Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events. One listening point per site per survey.",
"bateman_2018",2013,"Priest","Priest_dwn_B1_CORE",,2827.43338823081,"listening point of 30m radius - estimated","urban_notRestored","riverbank vegetation restoration","AC","T1",,"terrestrial","birds",69.125,13.5197368421053,10,7.28863217289727,11.198405316443,0.648523941866181,"Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events. One listening point per site per survey.",
"bateman_2018",2013,"Rio","Rio_mid_B2_CORE",,2827.43338823081,"listening point of 30m radius - estimated","urban_restored","riverbank vegetation restoration","AI","T1",8,"terrestrial","birds",23.125,11.2589285714286,6,5.76936324269837,17.8556929053823,0.304486366868771,"Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events. One listening point per site per survey.",
"bateman_2018",2013,"Tonto","Tonto_up_B1_CORE",,2827.43338823081,"listening point of 30m radius - estimated","notUrban_notRestored","riverbank vegetation restoration","AC","T1",,"terrestrial","birds",40.0074074074074,17.5111111111111,13,10.7983097373005,16.6508416840356,0.383343676094578,"Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events. One listening point per site per survey.",
"bateman_2018",2013,"Ave67","Ave67_mid_B1_CORE",,2827.43338823081,"listening point of 30m radius - estimated","urban_notRestored","riverbank vegetation restoration","AC","T1",,"terrestrial","birds",49.5584415584416,12.3246753246753,9,7.32979098477784,17.4411789071335,0.563740559667446,"Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events. One listening point per site per survey.",
"bateman_2018",2014,"Ave35","Ave35_dwn_B1_CORE",,2827.43338823081,"listening point of 30m radius - estimated","urban_notRestored","riverbank vegetation restoration","AC","T2",,"terrestrial","birds",42.1359223300971,8.39805825242718,7,5.66997919111749,10.6888573501913,0.70455734142741,"Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events. One listening point per site per survey.",
"bateman_2018",2014,"BM","BM_mid_B2_CORE",,2827.43338823081,"listening point of 30m radius - estimated","urban_restored","riverbank vegetation restoration","AI","T2",2,"terrestrial","birds",57.5031446540881,16.3333333333333,19,12.953440054515,11.2881914936407,0.60215479312416,"Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events. One listening point per site per survey.",
"bateman_2018",2014,"Ave67","Ave67_mid_B1_CORE",,2827.43338823081,"listening point of 30m radius - estimated","urban_notRestored","riverbank vegetation restoration","AC","T2",,"terrestrial","birds",89.051724137931,7.53448275862069,9,5.75620816477305,6.68711931418032,0.731799918180079,"Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events. One listening point per site per survey.",
