sampling.id,site,date,month,day,year,doy,cham,subs,treat,warming,target.delta,method,id,genus,species,n,unique.id,caste,notes,pinned
1,HF,2009-06-17,6,17,2009,168,1,A,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,1,B,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,1,C,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,1,D,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,2,A,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,2,B,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,2,C,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,2,D,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,3,A,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,3,B,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,3,C,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,3,D,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,4,A,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,4,B,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,4,C,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,4,D,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,5,A,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,5,B,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,5,C,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,5,D,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,6,A,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,6,B,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,6,C,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,6,D,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,7,A,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,7,B,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,7,C,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
1,HF,2009-06-17,6,17,2009,168,7,D,Pre-treat,NA,NA,Pitfall,NA,NA,NA,NA,NA,NA,NA,NA
